matrix_id,territory_id,city,state,territory_url,territory_status,template_id,localized_query,modifier_family,intent_class,priority,recommended_page_role,page_creation_recommendation,old_google_surface,new_google_surface,primary_trust_signal,algorithm_era_ids,before_vs_today_recommendation,phrase_bridge_file,city_association_file,github_repository,predecessor_ai_visibility_doi
M00001,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q001,best roofing company in Acworth,best_top,comparison_hiring,high,trust hub plus GBP/reviews; city page FAQ mention,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic/local pack/GBP,AI Overviews/AI Mode answer citation/local recommendations,"reviews, GBP completeness, proof photos, citations",E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00002,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q002,best roofers in Acworth,best_top,comparison_hiring,high,trust hub plus GBP/reviews; city page FAQ mention,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic/local pack/GBP,AI Overviews/AI Mode answer citation/local recommendations,"reviews, local proof, consistent entity data",E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00003,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q003,best roofing contractors in Acworth,best_top,comparison_hiring,high,trust hub plus service pages,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic/local pack/GBP,AI answer engine / query fan-out,"licensing, insurance, manufacturer certifications, review proof",E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00004,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q004,top rated roofers in Acworth,best_top,reviews_comparison,high,reviews/reputation hub plus GBP,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,GBP/local pack/reviews,AI local recommendations / summarization,"review quantity, rating, review response quality",E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00005,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q005,top roofing companies in Acworth,best_top,comparison_hiring,medium,trust hub and city FAQ,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic/local pack,AI Mode comparisons,proof modules and third-party citations,E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00006,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q006,top 10 roofers in Acworth,best_top,comparison_research,medium,blog/research note or FAQ,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic/research,AI answer comparison queries,transparent criteria and citations,E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00007,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q007,who is the best roofer in Acworth,best_top,voice_search_comparison,medium,FAQ on trust hub and city pages,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,voice/local search,AI conversational answer,clear criteria and proof,E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00008,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q008,best roofing company in Acworth,best_top,city_comparison,high,city page trust section plus master hub,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic city SERP,AI local answer / query fan-out,"city-specific proof, photos, reviews",E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00009,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q009,top roofing company in Acworth,best_top,city_comparison,medium,city page trust section plus master hub,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,organic city SERP,AI local answer / query fan-out,city proof and profile agreement,E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
M00010,T01,Acworth,GA,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,Q010,top rated roofers in Acworth,best_top,city_reviews_comparison,high,city page review/proof section,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,local pack/reviews,AI local answer / Maps-adjacent recommendations,reviews and responses,E04|E05|E07,Keep as best/top comparison language in the study and trust hub; route to proof-led city modules rather than unsupported city ranking claims.,data/best_top_trusted_phrase_bridge.csv,data/best_top_trust_city_association_map.csv,https://github.com/richnass87/inspector-roofing-best-top-trusted-google-study,10.5281/zenodo.20650542
